BORE_SUBTY,STATUS,SPUD_DATE,LATITUDE,LONGITUDE
APPRAISAL WELL,PLUGGED AND ABANDONED,1998-01-02,-26.16818,150.113181
APPRAISAL WELL,PLUGGED AND ABANDONED,1998-01-12,-26.211036,150.131891
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1998-05-25,-25.912469,148.946319
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1998-06-21,-25.912083,149.195002
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1998-07-25,-25.900178,149.144436
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1998-08-24,-25.858233,149.122052
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1998-09-14,-26.001869,150.093502
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1998-10-01,-25.863567,149.119316
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1998-10-04,-25.569413,148.878472
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1998-10-09,-26.007906,150.078102
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1998-10-15,-25.713067,148.877963
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1998-10-16,-26.024927,150.081149
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1998-10-23,-26.0153,150.087869
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1998-10-27,-25.907589,149.148339
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1998-10-29,-26.022272,150.092319
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1998-11-30,-24.792436,150.01886
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1998-12-02,-24.784872,150.012114
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1998-12-03,-24.737519,149.998502
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1998-12-05,-24.735014,150.003414
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1998-12-08,-26.033511,149.160794
APPRAISAL WELL,UNKNOWN,1999-01-12,-26.033124,149.136397
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-02-06,-24.73076,150.005497
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-02-11,-24.727869,150.002325
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-02-14,-25.928958,149.043864
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-02-14,-24.714992,150.001747
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1999-02-16,-24.772863,150.012672
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1999-02-19,-24.782533,150.007661
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-02-20,-24.748422,150.010897
